statement_date,due_date,billing_days,current_charges,total_account_balance,period_start,period_end
2026-07-17,2026-08-14,30,293.69,731.70,2026-06-18,2026-07-17
2026-06-17,2026-07-13,32,253.37,438.01,2026-05-17,2026-06-17
2026-05-18,2026-06-15,29,184.64,744.21,2026-04-20,2026-05-18
2026-04-17,2026-05-15,30,265.40,559.57,2026-03-19,2026-04-17
2026-03-18,2026-04-13,29,294.17,969.68,2026-02-18,2026-03-18
2026-02-17,2026-03-16,32,675.51,1122.22,2026-01-17,2026-02-17
2026-01-16,2026-02-17,31,446.71,1277.10,2025-12-17,2026-01-16
2025-12-16,2026-01-12,32,420.58,830.39,2025-11-15,2025-12-16
2025-11-14,2025-12-12,30,201.55,201.55,2025-10-16,2025-11-14
2025-10-15,2025-11-10,29,208.26,208.26,2025-09-17,2025-10-15
2025-09-16,2025-10-14,32,247.39,247.39,2025-08-16,2025-09-16
2025-08-15,2025-09-12,29,303.10,303.10,2025-07-18,2025-08-15
2025-07-17,2025-08-12,30,319.63,319.63,2025-06-18,2025-07-17
2025-06-17,2025-07-14,32,221.99,221.99,2025-05-17,2025-06-17
2025-05-16,2025-06-13,30,165.97,165.97,2025-04-17,2025-05-16
2025-04-16,2025-05-12,29,139.28,139.28,2025-03-19,2025-04-16
2025-03-18,2025-04-14,31,201.17,16.21,2025-02-16,2025-03-18
2025-02-17,2025-03-17,30,267.47,452.43,2025-01-19,2025-02-17
2025-01-16,2025-02-11,33,243.31,243.31,2024-12-15,2025-01-16
2024-12-16,2025-01-13,30,184.96,184.96,2024-11-17,2024-12-16
2024-11-14,2024-12-10,30,149.79,149.79,2024-10-16,2024-11-14
2024-10-15,2024-11-12,31,138.45,138.45,2024-09-15,2024-10-15
2024-09-16,2024-10-15,30,144.36,144.36,2024-08-18,2024-09-16
2024-08-15,2024-09-10,29,185.89,185.89,2024-07-18,2024-08-15
2024-07-17,2024-08-12,32,202.93,202.93,2024-06-16,2024-07-17
2024-06-17,2024-07-15,30,157.66,157.66,2024-05-19,2024-06-17
2024-05-16,2024-06-11,29,144.84,144.84,2024-04-18,2024-05-16
2024-04-17,2024-05-13,32,151.32,101.06,2024-03-17,2024-04-17
2024-03-18,2024-04-15,29,159.37,-50.26,2024-02-19,2024-03-18
2024-02-16,2024-03-15,29,209.63,209.63,2024-01-19,2024-02-16
2024-01-18,2024-02-13,33,214.22,391.56,2023-12-17,2024-01-18
2023-12-18,2024-01-16,30,177.34,177.34,2023-11-19,2023-12-18
2023-11-16,2023-12-12,30,143.28,288.57,2023-10-18,2023-11-16
2023-10-17,2023-11-13,31,145.29,145.29,2023-09-17,2023-10-17
2023-09-18,2023-10-16,30,134.19,262.93,2023-08-20,2023-09-18
2023-08-17,2023-09-12,29,128.74,128.74,2023-07-20,2023-08-17
2023-07-19,2023-08-14,32,134.64,256.85,2023-06-18,2023-07-19
2023-06-19,2023-07-17,26,122.21,122.21,2023-05-25,2023-06-19
